change_id;revision-id;filename;line;start_line;end_line;LOC;message
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;bf9453159e01b4ad82bf0f36ccd741b774b3d04b;src/gromacs/gpu_utils/tests/gpu_utils.cpp;53;47;53;#    undef __CUDA_ARCH__;An ugly solution to fix CUDA warning
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;bf9453159e01b4ad82bf0f36ccd741b774b3d04b;src/gromacs/gpu_utils/tests/gpu_utils.cpp;53;47;53;#else;An ugly solution to fix CUDA warning
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;bf9453159e01b4ad82bf0f36ccd741b774b3d04b;src/gromacs/gpu_utils/tests/gpu_utils.cpp;53;47;53;#    include <cuda_runtime.h>;An ugly solution to fix CUDA warning
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;d7ef7219a30f538d600919b7ea9634d1507c6cd4;src/gromacs/ewald/pme_gather.cu;325;0;0;        const float3* __restrict__ gm_coordinates = rVecBufferAsFloat3(kernelParams.atoms.d_coordinates)_;make d_coordinates a float3 and avoid the issue? _  _ If the approach is to use float3 near the device and RVec at high level, then it's reasonable to draw the line around where we set up the values of parameters to use in the device kernels. Thus d_coordinates and friends as float3 makes sense. However, we need to separate the lifetime-managing DeviceBuffer<RVec> objects (that are hiding device-side float3/cl_mem) from things we actually use in a kernel parameter struct (a float3* for CUDA, perhaps an offset for OpenCL). The latter has to be updated on the host when we reallocate the DeviceBuffer, and that is the natural point to do the cast. CUDA kernels will get a float3 and be happy. _  _ I have such a change for pme_gpu_types.h, which I can prepare for upload.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;d7ef7219a30f538d600919b7ea9634d1507c6cd4;src/gromacs/ewald/pme_gather.cu;325;0;0;        const float3* __restrict__ gm_coordinates = rVecBufferAsFloat3(kernelParams.atoms.d_coordinates)_;opencl doesnt use them, so they don't need to be set up. instead the device buffer args are kernel launch args
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;d7ef7219a30f538d600919b7ea9634d1507c6cd4;src/gromacs/ewald/pme_gather.cu;325;0;0;        const float3* __restrict__ gm_coordinates = rVecBufferAsFloat3(kernelParams.atoms.d_coordinates)_;I finally understood that it is hidden from OpenCL. Fixed now. The cast is moved from the kernel here and in spread.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;d7ef7219a30f538d600919b7ea9634d1507c6cd4;src/gromacs/ewald/pme_gather.cu;325;0;0;        const float3* __restrict__ gm_coordinates = rVecBufferAsFloat3(kernelParams.atoms.d_coordinates)_;Did not work.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;d7ef7219a30f538d600919b7ea9634d1507c6cd4;src/gromacs/ewald/pme_gather.cu;325;0;0;        const float3* __restrict__ gm_coordinates = rVecBufferAsFloat3(kernelParams.atoms.d_coordinates)_;Sorry. It is not the kernel signature, but the fact that kernelParams are the same for OpenCl and CUDA...
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;d7ef7219a30f538d600919b7ea9634d1507c6cd4;src/gromacs/ewald/pme_gather.cu;325;0;0;        const float3* __restrict__ gm_coordinates = rVecBufferAsFloat3(kernelParams.atoms.d_coordinates)_;launchGpuKernel has wildly different implementations for a few use cases there, so anything can be made to work. But I don't think we need to touch its implementation.
gromacs~master~Iaea914a474195f214ca860f7345f6878b9a04813;d7ef7219a30f538d600919b7ea9634d1507c6cd4;src/gromacs/ewald/pme_gather.cu;325;0;0;        const float3* __restrict__ gm_coordinates = rVecBufferAsFloat3(kernelParams.atoms.d_coordinates)_;But the kernel is called from the platform-agnostic .cpp file, which means that CUDA and OpenCL signatures should be the same for it. Or am I missing something?
